Bratislava - Stare Mesto;Bratislava I;Bratislavsky kraj;39187;24952;63.67;24931;24836;39060;24191;61.93;24183;23847
Bratislava - Podunajske Biskupice;Bratislava II;Bratislavsky kraj;20042;10378;51.78;10375;10271;19882;9442;47.49;9429;9314
Bratislava - Ruzinov;Bratislava II;Bratislavsky kraj;66641;40628;60.96;40605;40452;66102;38489;58.22;38479;37929
Bratislava - Vrakuna;Bratislava II;Bratislavsky kraj;17536;8954;51.06;8953;8916;17351;8144;46.93;8143;8015
Bratislava - Nove Mesto;Bratislava III;Bratislavsky kraj;35131;21726;61.84;21719;21629;34914;20758;59.45;20750;20443
Bratislava - Raca;Bratislava III;Bratislavsky kraj;19953;11768;58.97;11759;11710;19908;11173;56.12;11171;11008
Bratislava - Vajnory;Bratislava III;Bratislavsky kraj;4649;2877;61.88;2877;2863;4641;2678;57.7;2678;2642
Bratislava - Devin;Bratislava IV;Bratislavsky kraj;1405;957;68.11;956;952;1429;902;63.12;902;877
Bratislava - Devinska Nova Ves;Bratislava IV;Bratislavsky kraj;14162;8244;58.21;8236;8205;14090;7509;53.29;7507;7382
Bratislava - Dubravka;Bratislava IV;Bratislavsky kraj;31278;17572;56.18;17567;17491;31022;16404;52.87;16400;16151
Bratislava - Karlova Ves;Bratislava IV;Bratislavsky kraj;30273;18848;62.26;18836;18769;29833;17662;59.2;17661;17412
Bratislava - Lamac;Bratislava IV;Bratislavsky kraj;6198;4078;65.79;4078;4065;6145;3781;61.52;3781;3703
Bratislava - Zahorska Bystrica;Bratislava IV;Bratislavsky kraj;4338;3001;69.17;2999;2987;4358;2834;65.02;2834;2800
Bratislava - Cunovo;Bratislava V;Bratislavsky kraj;1212;866;71.45;866;863;1201;826;68.77;826;815
Bratislava - Jarovce;Bratislava V;Bratislavsky kraj;2055;1430;69.58;1430;1426;2097;1397;66.61;1397;1380
Bratislava - Petrzalka;Bratislava V;Bratislavsky kraj;94260;53855;57.13;53826;53648;94269;50162;53.21;50134;49417
Bratislava - Rusovce;Bratislava V;Bratislavsky kraj;3371;2230;66.15;2221;2210;3375;2148;63.64;2148;2125
Borinka;Malacky;Bratislavsky kraj;644;412;63.97;412;412;661;388;58.69;388;380
Gajary;Malacky;Bratislavsky kraj;2468;1018;41.24;1018;1013;2449;826;33.72;826;810
Jablonove;Malacky;Bratislavsky kraj;1074;638;59.4;638;635;1080;560;51.85;560;553
Jakubov;Malacky;Bratislavsky kraj;1326;660;49.77;659;656;1331;584;43.87;584;578
Kostoliste;Malacky;Bratislavsky kraj;1223;687;56.17;687;682;1237;600;48.5;600;587
Kuchyna;Malacky;Bratislavsky kraj;1444;738;51.1;738;731;1450;624;43.03;624;610
Lab;Malacky;Bratislavsky kraj;1502;882;58.72;882;878;1498;747;49.86;747;731
Lozorno;Malacky;Bratislavsky kraj;2556;1275;49.88;1275;1266;2550;1159;45.45;1159;1137
Malacky;Malacky;Bratislavsky kraj;15201;7764;51.07;7763;7724;15211;6691;43.98;6687;6571
Male Levare;Malacky;Bratislavsky kraj;1110;445;40.09;445;438;1122;364;32.44;364;360
Marianka;Malacky;Bratislavsky kraj;1635;1104;67.52;1104;1104;1755;1056;60.17;1056;1043
Pernek;Malacky;Bratislavsky kraj;723;393;54.35;393;392;732;323;44.12;323;306
Plavecke Podhradie;Malacky;Bratislavsky kraj;586;313;53.41;313;310;574;298;51.91;298;295
Plavecky Mikulas;Malacky;Bratislavsky kraj;622;398;63.98;398;394;635;319;50.23;319;307
Plavecky Stvrtok;Malacky;Bratislavsky kraj;1979;868;43.86;868;864;1996;803;40.23;803;793
Rohoznik;Malacky;Bratislavsky kraj;2889;1357;46.97;1357;1350;2882;1167;40.49;1167;1128
Solosnica;Malacky;Bratislavsky kraj;1340;724;54.02;724;720;1372;672;48.97;672;660
Studienka;Malacky;Bratislavsky kraj;1438;686;47.7;686;685;1427;588;41.2;588;585
Stupava;Malacky;Bratislavsky kraj;9249;5630;60.87;5626;5604;9285;5156;55.53;5156;5087
Suchohrad;Malacky;Bratislavsky kraj;581;293;50.43;293;292;594;247;41.58;247;245
Velke Levare;Malacky;Bratislavsky kraj;3036;1367;45.02;1367;1356;3030;1134;37.42;1134;1112
Vysoka pri Morave;Malacky;Bratislavsky kraj;1840;902;49.02;902;899;1829;752;41.11;752;743
Zahorie (vojensky obvod);Malacky;Bratislavsky kraj;140;66;47.14;66;65;144;53;36.8;53;44
Zahorska Ves;Malacky;Bratislavsky kraj;1497;560;37.4;560;556;1498;476;31.77;476;472
Zavod;Malacky;Bratislavsky kraj;2367;991;41.86;991;986;2353;829;35.23;829;822
Zohor;Malacky;Bratislavsky kraj;2700;1417;52.48;1417;1413;2711;1306;48.17;1306;1288
Bahon;Pezinok;Bratislavsky kraj;1532;868;56.65;868;864;1530;765;50;765;750
Budmerice;Pezinok;Bratislavsky kraj;1944;1066;54.83;1066;1058;1944;923;47.47;923;905
Casta;Pezinok;Bratislavsky kraj;1908;1110;58.17;1110;1106;1908;926;48.53;926;914
Dolany;Pezinok;Bratislavsky kraj;903;622;68.88;622;619;889;522;58.71;522;506
Dubova;Pezinok;Bratislavsky kraj;927;595;64.18;595;591;926;496;53.56;496;488
Jablonec;Pezinok;Bratislavsky kraj;801;458;57.17;458;456;797;365;45.79;365;358
Limbach;Pezinok;Bratislavsky kraj;1667;1140;68.38;1140;1140;1643;1029;62.62;1029;1022
Modra;Pezinok;Bratislavsky kraj;7805;4711;60.35;4709;4695;7748;4256;54.93;4253;4194
Pezinok;Pezinok;Bratislavsky kraj;19823;12520;63.15;12518;12471;19812;11464;57.86;11460;11308
Pila;Pezinok;Bratislavsky kraj;297;179;60.26;179;179;322;190;59;190;189
Slovensky Grob;Pezinok;Bratislavsky kraj;3269;2101;64.27;2101;2093;3271;1907;58.3;1907;1886
Svaty Jur;Pezinok;Bratislavsky kraj;4707;2799;59.46;2796;2779;4721;2603;55.13;2600;2534
Senkvice;Pezinok;Bratislavsky kraj;4112;2541;61.79;2540;2530;4103;2237;54.52;2237;2194
Stefanova;Pezinok;Bratislavsky kraj;308;179;58.11;179;178;306;153;50;153;152
Vinicne;Pezinok;Bratislavsky kraj;2034;1375;67.6;1375;1369;2003;1185;59.16;1185;1168
Vinosady;Pezinok;Bratislavsky kraj;1120;764;68.21;764;762;1086;660;60.77;660;656
Vistuk;Pezinok;Bratislavsky kraj;1147;623;54.31;623;618;1143;562;49.16;561;546
Bernolakovo;Senec;Bratislavsky kraj;6048;3769;62.31;3769;3754;6076;3283;54.03;3283;3239
Blatne;Senec;Bratislavsky kraj;1381;824;59.66;824;820;1393;743;53.33;743;733
Boldog;Senec;Bratislavsky kraj;404;245;60.64;245;244;403;240;59.55;240;234
Cataj;Senec;Bratislavsky kraj;967;615;63.59;615;614;979;546;55.77;546;536
Dunajska Luzna;Senec;Bratislavsky kraj;5085;3238;63.67;3237;3227;5092;2856;56.08;2853;2809
Hamuliakovo;Senec;Bratislavsky kraj;1858;1063;57.21;1062;1062;1883;1009;53.58;1009;997
Hruba Borsa;Senec;Bratislavsky kraj;808;533;65.96;533;531;839;506;60.3;505;493
Hruby Sur;Senec;Bratislavsky kraj;753;438;58.16;438;436;761;381;50.06;381;376
Hurbanova Ves;Senec;Bratislavsky kraj;317;200;63.09;200;200;324;199;61.41;199;192
Chorvatsky Grob;Senec;Bratislavsky kraj;4552;3029;66.54;3029;3023;4540;2868;63.17;2868;2856
Igram;Senec;Bratislavsky kraj;480;267;55.62;267;265;480;222;46.25;222;214
Ivanka pri Dunaji;Senec;Bratislavsky kraj;5308;3416;64.35;3407;3391;5303;3040;57.32;3040;2956
Kalinkovo;Senec;Bratislavsky kraj;1126;697;61.9;697;691;1118;644;57.6;644;630
Kaplna;Senec;Bratislavsky kraj;703;399;56.75;399;393;709;365;51.48;365;359
Kostolna pri Dunaji;Senec;Bratislavsky kraj;546;337;61.72;337;334;557;300;53.85;300;298
Kralova pri Senci;Senec;Bratislavsky kraj;1612;1002;62.15;1002;993;1618;911;56.3;911;888
Malinovo;Senec;Bratislavsky kraj;2736;1751;63.99;1751;1741;2735;1605;58.68;1604;1579
Miloslavov;Senec;Bratislavsky kraj;2336;1634;69.94;1633;1624;2333;1527;65.45;1527;1512
Most pri Bratislave;Senec;Bratislavsky kraj;2644;1648;62.32;1648;1642;2639;1413;53.54;1413;1394
Nova Dedinka;Senec;Bratislavsky kraj;2150;1295;60.23;1295;1289;2172;1174;54.05;1174;1145
Novy Svet;Senec;Bratislavsky kraj;82;56;68.29;56;56;85;44;51.76;44;43
Reca;Senec;Bratislavsky kraj;1255;658;52.43;658;648;1274;564;44.27;564;550
Rovinka;Senec;Bratislavsky kraj;3268;2054;62.85;2054;2049;3285;1833;55.79;1833;1809
Senec;Senec;Bratislavsky kraj;15285;8200;53.64;8199;8156;15289;7366;48.17;7366;7223
Tomasov;Senec;Bratislavsky kraj;2124;1163;54.75;1163;1158;2135;1117;52.31;1117;1106
Turen;Senec;Bratislavsky kraj;920;521;56.63;521;518;923;470;50.92;470;462
Velky Biel;Senec;Bratislavsky kraj;2164;1190;54.99;1190;1186;2213;1093;49.38;1091;1080
Vlky;Senec;Bratislavsky kraj;372;212;56.98;212;209;370;171;46.21;171;168
Zalesie;Senec;Bratislavsky kraj;1529;1079;70.56;1079;1078;1528;980;64.13;980;960
Bac;Dunajska Streda;Trnavsky kraj;472;248;52.54;248;238;475;221;46.52;221;219
Baka;Dunajska Streda;Trnavsky kraj;973;295;30.31;293;290;981;297;30.27;297;294
Balon;Dunajska Streda;Trnavsky kraj;619;156;43521;156;154;620;155;25;155;152
Bellova Ves;Dunajska Streda;Trnavsky kraj;256;135;52.73;135;134;252;116;46.03;116;114
Blahova;Dunajska Streda;Trnavsky kraj;308;167;54.22;167;166;311;124;39.87;124;121
Blatna na Ostrove;Dunajska Streda;Trnavsky kraj;766;322;42.03;322;320;769;276;35.89;276;274
Bodiky;Dunajska Streda;Trnavsky kraj;286;135;47.2;135;135;311;177;56.91;177;177
Bohelov;Dunajska Streda;Trnavsky kraj;296;102;34.45;102;101;294;84;28.57;84;83
Cakany;Dunajska Streda;Trnavsky kraj;504;269;53.37;269;267;505;235;46.53;235;234
Cenkovce;Dunajska Streda;Trnavsky kraj;902;367;40.68;367;367;808;345;42.69;345;345
Cilizska Radvan;Dunajska Streda;Trnavsky kraj;986;184;18.66;184;182;987;168;43513;168;166
Dobrohosù;Dunajska Streda;Trnavsky kraj;433;216;49.88;216;215;441;204;46.25;204;202
Dolny Bar;Dunajska Streda;Trnavsky kraj;597;198;33.16;197;196;598;163;27.25;163;162
Dolny Stal;Dunajska Streda;Trnavsky kraj;1624;409;25.18;409;406;1632;352;21.56;352;343
Dunajska Streda;Dunajska Streda;Trnavsky kraj;19293;6041;31.31;6034;5991;19279;5827;30.22;5825;5762
Dunajsky Klatov;Dunajska Streda;Trnavsky kraj;578;149;25.77;149;148;574;136;23.69;136;136
Gabcikovo;Dunajska Streda;Trnavsky kraj;4332;1204;27.79;1204;1194;4428;1113;25.13;1113;1075
Holice;Dunajska Streda;Trnavsky kraj;1770;602;34.01;602;598;1742;494;28.35;490;487
Horna Poton;Dunajska Streda;Trnavsky kraj;1731;601;34.71;601;601;1738;529;30.43;528;523
Horne Myto;Dunajska Streda;Trnavsky kraj;782;159;20.33;159;157;780;148;18.97;148;143
Horny Bar;Dunajska Streda;Trnavsky kraj;1053;438;41.59;438;437;1059;393;37.11;393;388
Hubice;Dunajska Streda;Trnavsky kraj;526;273;51.9;273;271;516;251;48.64;251;249
Hviezdoslavov;Dunajska Streda;Trnavsky kraj;1379;886;64.24;886;883;1513;830;54.85;830;821
Jahodna;Dunajska Streda;Trnavsky kraj;1398;339;24.24;339;336;1411;344;24.37;344;344
Janiky;Dunajska Streda;Trnavsky kraj;755;414;54.83;414;411;770;358;46.49;358;356
Jurova;Dunajska Streda;Trnavsky kraj;397;140;35.26;140;140;398;107;26.88;107;105
Klucovec;Dunajska Streda;Trnavsky kraj;311;92;29.58;92;89;313;76;24.28;76;73
Kostolne Kracany;Dunajska Streda;Trnavsky kraj;1160;436;37.58;436;435;1164;325;27.92;325;323
Kralovicove Kracany;Dunajska Streda;Trnavsky kraj;899;293;32.59;293;291;898;229;43610;229;229
Kutniky;Dunajska Streda;Trnavsky kraj;1155;448;38.78;448;445;1152;386;33.5;386;384
Kvetoslavov;Dunajska Streda;Trnavsky kraj;1262;799;63.31;799;795;1274;696;54.63;696;691
Kyselica;Dunajska Streda;Trnavsky kraj;160;72;45;72;72;169;80;47.33;80;78
Lehnice;Dunajska Streda;Trnavsky kraj;2315;888;38.35;886;876;2330;748;32.1;747;739
Luc na Ostrove;Dunajska Streda;Trnavsky kraj;614;217;35.34;217;217;619;195;43616;195;191
Macov;Dunajska Streda;Trnavsky kraj;325;195;60;195;193;334;171;51.19;171;167
Mad;Dunajska Streda;Trnavsky kraj;466;178;38.19;178;175;467;128;43582;128;126
Male Dvorniky;Dunajska Streda;Trnavsky kraj;941;386;41.02;386;385;942;337;35.77;337;337
Medvedov;Dunajska Streda;Trnavsky kraj;483;129;43672;129;129;490;120;24.48;120;120
Mierovo;Dunajska Streda;Trnavsky kraj;361;202;55.95;202;202;359;173;48.18;173;171
Michal na Ostrove;Dunajska Streda;Trnavsky kraj;820;316;38.53;316;311;822;281;34.18;281;276
Narad;Dunajska Streda;Trnavsky kraj;540;193;35.74;193;186;548;198;36.13;198;193
Novy Zivot;Dunajska Streda;Trnavsky kraj;1836;674;36.71;674;664;1842;665;36.1;665;662
Ohrady;Dunajska Streda;Trnavsky kraj;1120;299;26.69;299;298;1114;255;22.89;255;252
Okoc;Dunajska Streda;Trnavsky kraj;3100;605;19.51;605;575;3158;487;15.42;487;470
Oldza;Dunajska Streda;Trnavsky kraj;403;210;52.1;210;209;403;191;47.39;191;188
Orechova Poton;Dunajska Streda;Trnavsky kraj;1463;456;31.16;456;453;1436;420;29.24;420;416
Padan;Dunajska Streda;Trnavsky kraj;740;186;25.13;186;186;740;162;21.89;162;162
Patas;Dunajska Streda;Trnavsky kraj;658;102;43600;102;102;654;76;22951;76;76
Potonske Luky;Dunajska Streda;Trnavsky kraj;229;87;37.99;87;86;231;75;32.46;75;74
Povoda;Dunajska Streda;Trnavsky kraj;803;272;33.87;272;269;804;261;32.46;261;260
Rohovce;Dunajska Streda;Trnavsky kraj;922;400;43.38;399;394;918;329;35.83;329;323
Sap;Dunajska Streda;Trnavsky kraj;441;121;27.43;121;119;441;112;25.39;112;109
Samorin;Dunajska Streda;Trnavsky kraj;10981;5058;46.06;5058;5027;10873;4526;41.62;4524;4463
Stvrtok na Ostrove;Dunajska Streda;Trnavsky kraj;1437;631;43.91;631;626;1439;538;37.38;538;529
Topolniky;Dunajska Streda;Trnavsky kraj;2578;721;27.96;721;713;2576;569;43699;569;566
Trhova Hradska;Dunajska Streda;Trnavsky kraj;1860;505;27.15;505;501;1863;386;20.71;385;380
Trnavka;Dunajska Streda;Trnavsky kraj;418;196;46.88;196;196;420;154;36.66;154;154
Trstena na Ostrove;Dunajska Streda;Trnavsky kraj;498;176;35.34;176;170;503;170;33.79;170;168
Velka Paka;Dunajska Streda;Trnavsky kraj;776;420;54.12;420;417;765;397;51.89;397;393
Velke Blahovo;Dunajska Streda;Trnavsky kraj;1241;326;26.26;326;323;1243;263;21.15;263;262
Velke Dvorniky;Dunajska Streda;Trnavsky kraj;1047;305;29.13;305;300;1048;266;25.38;266;264
Velky Meder;Dunajska Streda;Trnavsky kraj;7097;1570;43821;1570;1561;7084;1426;43819;1426;1409
Vieska;Dunajska Streda;Trnavsky kraj;360;160;44.44;160;159;360;128;35.55;128;128
Vojka nad Dunajom;Dunajska Streda;Trnavsky kraj;410;212;51.7;212;210;442;231;52.26;231;229
Vrakun;Dunajska Streda;Trnavsky kraj;2255;715;43677;714;705;2261;560;24.76;559;557
Vydrany;Dunajska Streda;Trnavsky kraj;1451;433;29.84;433;425;1460;369;25.27;369;356
Zlate Klasy;Dunajska Streda;Trnavsky kraj;2753;532;19.32;532;529;2739;531;19.38;531;526
Abraham;Galanta;Trnavsky kraj;905;527;58.23;527;527;911;476;52.25;476;463
Cierna Voda;Galanta;Trnavsky kraj;1147;564;49.17;564;555;1151;324;28.14;324;316
Cierny Brod;Galanta;Trnavsky kraj;1372;430;31.34;430;426;1372;374;27.25;374;369
Dolna Streda;Galanta;Trnavsky kraj;1289;731;56.71;731;721;1287;573;44.52;573;564
Dolne Saliby;Galanta;Trnavsky kraj;1721;570;33.12;564;555;1725;484;43613;484;482
Dolny Chotar;Galanta;Trnavsky kraj;300;74;24.66;74;73;301;60;19.93;60;59
Galanta;Galanta;Trnavsky kraj;12474;5936;47.58;5928;5902;12435;5244;42.17;5243;5142
Gan;Galanta;Trnavsky kraj;684;368;53.8;368;367;680;331;48.67;331;327
Horne Saliby;Galanta;Trnavsky kraj;2671;1030;38.56;1030;1015;2672;904;33.83;904;893
Hoste;Galanta;Trnavsky kraj;393;215;54.7;215;214;402;201;50;201;195
Janovce;Galanta;Trnavsky kraj;406;223;54.92;223;223;409;198;48.41;198;198
Jelka;Galanta;Trnavsky kraj;3357;1129;33.63;1129;1117;3352;994;29.65;994;985
Kajal;Galanta;Trnavsky kraj;1249;465;37.22;465;464;1260;390;30.95;390;386
Kosuty;Galanta;Trnavsky kraj;1403;571;40.69;571;559;1410;520;36.87;520;510
Kralov Brod;Galanta;Trnavsky kraj;907;268;29.54;268;264;909;231;25.41;231;231
Mala Maca;Galanta;Trnavsky kraj;499;232;46.49;232;229;499;189;37.87;189;183
Matuskovo;Galanta;Trnavsky kraj;1888;953;50.47;953;946;1888;853;45.18;852;839
Mostova;Galanta;Trnavsky kraj;1339;485;36.22;485;484;1339;429;32.03;429;423
Pata;Galanta;Trnavsky kraj;2637;1271;48.19;1271;1259;2620;960;36.64;960;942
Puste Sady;Galanta;Trnavsky kraj;530;256;48.3;256;253;534;223;41.76;223;220
Puste Ulany;Galanta;Trnavsky kraj;1443;735;50.93;735;725;1456;629;43.2;629;620
Sered;Galanta;Trnavsky kraj;13365;6528;48.84;6528;6495;13327;5371;40.3;5371;5285
Sladkovicovo;Galanta;Trnavsky kraj;4405;1783;40.47;1783;1780;4415;1613;36.53;1613;1580
Salgocka;Galanta;Trnavsky kraj;390;192;49.23;192;189;379;143;37.73;143;142
Sintava;Galanta;Trnavsky kraj;1468;822;55.99;822;820;1461;676;46.26;676;665
Soporna;Galanta;Trnavsky kraj;3451;1555;45.05;1555;1547;3449;1307;37.89;1307;1286
Tomasikovo;Galanta;Trnavsky kraj;1331;389;29.22;389;384;1330;305;22.93;305;303
Topolnica;Galanta;Trnavsky kraj;694;369;53.17;369;367;695;308;44.31;308;305
Trstice;Galanta;Trnavsky kraj;3214;973;30.27;973;969;3217;748;23.25;748;746
Vahovce;Galanta;Trnavsky kraj;1743;637;36.54;637;633;1745;578;33.12;578;568
Velka Maca;Galanta;Trnavsky kraj;2131;787;36.93;787;780;2131;645;30.26;645;641
Velke Ulany;Galanta;Trnavsky kraj;3766;1573;41.76;1573;1565;3763;1425;37.86;1425;1412
Velky Grob;Galanta;Trnavsky kraj;1122;562;50.08;562;559;1120;470;41.96;469;463
Vinohrady nad Vahom;Galanta;Trnavsky kraj;1365;660;48.35;660;658;1364;522;38.26;522;516
Vozokany;Galanta;Trnavsky kraj;967;348;35.98;348;346;961;335;34.85;335;332
Zemianske Sady;Galanta;Trnavsky kraj;689;301;43.68;301;300;702;252;35.89;252;249
Banka;Piesùany;Trnavsky kraj;1853;1002;54.07;1002;999;1864;860;46.13;860;843
Basovce;Piesùany;Trnavsky kraj;277;169;61.01;169;168;283;130;45.93;130;120
Borovce;Piesùany;Trnavsky kraj;867;450;51.9;450;447;868;369;42.51;369;363
Dolny Lopasov;Piesùany;Trnavsky kraj;819;411;50.18;411;410;810;342;42.22;341;332
Drahovce;Piesùany;Trnavsky kraj;2168;1118;51.56;1117;1111;2164;866;40.01;866;853
Dubovany;Piesùany;Trnavsky kraj;828;412;49.75;412;410;828;318;38.4;318;308
Ducove;Piesùany;Trnavsky kraj;370;217;58.64;217;212;370;166;44.86;166;159
Hubina;Piesùany;Trnavsky kraj;434;222;51.15;222;222;438;181;41.32;181;179
Chtelnica;Piesùany;Trnavsky kraj;2156;1295;60.06;1294;1286;2150;1048;48.74;1048;1031
Kocin - Lancar;Piesùany;Trnavsky kraj;433;241;55.65;241;239;437;208;47.59;208;199
Krakovany;Piesùany;Trnavsky kraj;1162;679;58.43;679;678;1153;563;48.82;563;549
Moravany nad Vahom;Piesùany;Trnavsky kraj;1915;1055;55.09;1055;1044;1922;857;44.58;856;845
Nizna;Piesùany;Trnavsky kraj;463;255;55.07;255;255;458;207;45.19;206;206
Ostrov;Piesùany;Trnavsky kraj;1015;556;54.77;556;552;1017;487;47.88;487;484
Pecenady;Piesùany;Trnavsky kraj;463;243;52.48;243;243;465;184;39.56;184;177
Piesùany;Piesùany;Trnavsky kraj;23983;13007;54.23;13001;12941;23855;11770;49.33;11770;11553
Prasnik;Piesùany;Trnavsky kraj;686;354;51.6;354;353;701;340;48.5;340;336
Rakovice;Piesùany;Trnavsky kraj;482;279;57.88;278;276;477;211;44.23;211;203
Ratnovce;Piesùany;Trnavsky kraj;844;413;48.93;413;412;844;330;39.09;330;328
Sokolovce;Piesùany;Trnavsky kraj;1106;561;50.72;561;557;1100;451;41;451;441
Sipkove;Piesùany;Trnavsky kraj;264;144;54.54;144;143;271;131;48.33;131;126
Sterusy;Piesùany;Trnavsky kraj;410;210;51.21;210;207;407;175;42.99;175;168
Trebatice;Piesùany;Trnavsky kraj;1089;590;54.17;590;589;1083;527;48.66;527;513
Velke Kostolany;Piesùany;Trnavsky kraj;2283;1066;46.69;1066;1061;2270;849;37.4;849;831
Velke Orviste;Piesùany;Trnavsky kraj;885;417;47.11;416;413;893;385;43.11;385;375
