Bratislava - Stare Mesto;Bratislava I;Bratislavsky kraj;39187;24952;63.67;24931;528595
Bratislava - Podunajske Biskupice;Bratislava II;Bratislavsky kraj;20042;10378;51.78;10375;529311
Bratislava - Ruzinov;Bratislava II;Bratislavsky kraj;66641;40628;60.96;40605;529320
Bratislava - Vrakuna;Bratislava II;Bratislavsky kraj;17536;8954;51.06;8953;529338
Bratislava - Nove Mesto;Bratislava III;Bratislavsky kraj;35131;21726;61.84;21719;529346
Bratislava - Raca;Bratislava III;Bratislavsky kraj;19953;11768;58.97;11759;529354
Bratislava - Vajnory;Bratislava III;Bratislavsky kraj;4649;2877;61.88;2877;529362
Bratislava - Devin;Bratislava IV;Bratislavsky kraj;1405;957;68.11;956;529401
Bratislava - Devinska Nova Ves;Bratislava IV;Bratislavsky kraj;14162;8244;58.21;8236;529371
Bratislava - Dubravka;Bratislava IV;Bratislavsky kraj;31278;17572;56.18;17567;529389
Bratislava - Karlova Ves;Bratislava IV;Bratislavsky kraj;30273;18848;62.26;18836;529397
Bratislava - Lamac;Bratislava IV;Bratislavsky kraj;6198;4078;65.79;4078;529419
Bratislava - Zahorska Bystrica;Bratislava IV;Bratislavsky kraj;4338;3001;69.17;2999;529427
Bratislava - Cunovo;Bratislava V;Bratislavsky kraj;1212;866;71.45;866;529435
Bratislava - Jarovce;Bratislava V;Bratislavsky kraj;2055;1430;69.58;1430;529443
Bratislava - Petrzalka;Bratislava V;Bratislavsky kraj;94260;53855;57.13;53826;529460
Bratislava - Rusovce;Bratislava V;Bratislavsky kraj;3371;2230;66.15;2221;529494
Borinka;Malacky;Bratislavsky kraj;644;412;63.97;412;507831
Gajary;Malacky;Bratislavsky kraj;2468;1018;41.24;1018;507890
Jablonove;Malacky;Bratislavsky kraj;1074;638;59.40;638;507954
Jakubov;Malacky;Bratislavsky kraj;1326;660;49.77;659;507962
Kostoliste;Malacky;Bratislavsky kraj;1223;687;56.17;687;508012
Kuchyna;Malacky;Bratislavsky kraj;1444;738;51.10;738;508021
Lab;Malacky;Bratislavsky kraj;1502;882;58.72;882;508039
Lozorno;Malacky;Bratislavsky kraj;2556;1275;49.88;1275;508055
Malacky;Malacky;Bratislavsky kraj;15201;7764;51.07;7763;508063
Male Levare;Malacky;Bratislavsky kraj;1110;445;40.09;445;504556
Marianka;Malacky;Bratislavsky kraj;1635;1104;67.52;1104;508080
Pernek;Malacky;Bratislavsky kraj;723;393;54.35;393;508161
Plavecke Podhradie;Malacky;Bratislavsky kraj;586;313;53.41;313;504629
Plavecky Mikulas;Malacky;Bratislavsky kraj;622;398;63.98;398;504637
Plavecky Stvrtok;Malacky;Bratislavsky kraj;1979;868;43.86;868;508195
Rohoznik;Malacky;Bratislavsky kraj;2889;1357;46.97;1357;504769
Solosnica;Malacky;Bratislavsky kraj;1340;724;54.02;724;504858
Studienka;Malacky;Bratislavsky kraj;1438;686;47.70;686;504874
Stupava;Malacky;Bratislavsky kraj;9249;5630;60.87;5626;508233
Suchohrad;Malacky;Bratislavsky kraj;581;293;50.43;293;508241
Velke Levare;Malacky;Bratislavsky kraj;3036;1367;45.02;1367;504947
Vysoka pri Morave;Malacky;Bratislavsky kraj;1840;902;49.02;902;508349
Zahorie (vojensky obvod);Malacky;Bratislavsky kraj;140;66;47.14;66;500267
Zahorska Ves;Malacky;Bratislavsky kraj;1497;560;37.40;560;508365
Zavod;Malacky;Bratislavsky kraj;2367;991;41.86;991;504980
Zohor;Malacky;Bratislavsky kraj;2700;1417;52.48;1417;508381
Bahon;Pezinok;Bratislavsky kraj;1532;868;56.65;868;507806
Budmerice;Pezinok;Bratislavsky kraj;1944;1066;54.83;1066;507849
Casta;Pezinok;Bratislavsky kraj;1908;1110;58.17;1110;507857
Dolany;Pezinok;Bratislavsky kraj;903;622;68.88;622;507873
Dubova;Pezinok;Bratislavsky kraj;927;595;64.18;595;507881
Jablonec;Pezinok;Bratislavsky kraj;801;458;57.17;458;507946
Limbach;Pezinok;Bratislavsky kraj;1667;1140;68.38;1140;508047
Modra;Pezinok;Bratislavsky kraj;7805;4711;60.35;4709;508101
Pezinok;Pezinok;Bratislavsky kraj;19823;12520;63.15;12518;508179
Pila;Pezinok;Bratislavsky kraj;297;179;60.26;179;508187
Slovensky Grob;Pezinok;Bratislavsky kraj;3269;2101;64.27;2101;508225
Svaty Jur;Pezinok;Bratislavsky kraj;4707;2799;59.46;2796;507989
Senkvice;Pezinok;Bratislavsky kraj;4112;2541;61.79;2540;508250
Stefanova;Pezinok;Bratislavsky kraj;308;179;58.11;179;508268
Vinicne;Pezinok;Bratislavsky kraj;2034;1375;67.60;1375;508306
Vinosady;Pezinok;Bratislavsky kraj;1120;764;68.21;764;508314
Vistuk;Pezinok;Bratislavsky kraj;1147;623;54.31;623;508322
Bernolakovo;Senec;Bratislavsky kraj;6048;3769;62.31;3769;507814
Blatne;Senec;Bratislavsky kraj;1381;824;59.66;824;507822
Boldog;Senec;Bratislavsky kraj;404;245;60.64;245;503681
Cataj;Senec;Bratislavsky kraj;967;615;63.59;615;507865
Dunajska Luzna;Senec;Bratislavsky kraj;5085;3238;63.67;3237;545333
Hamuliakovo;Senec;Bratislavsky kraj;1858;1063;57.21;1062;507903
Hruba Borsa;Senec;Bratislavsky kraj;808;533;65.96;533;503797
Hruby Sur;Senec;Bratislavsky kraj;753;438;58.16;438;503801
Hurbanova Ves;Senec;Bratislavsky kraj;317;200;63.09;200;503819
Chorvatsky Grob;Senec;Bratislavsky kraj;4552;3029;66.54;3029;507911
Igram;Senec;Bratislavsky kraj;480;267;55.62;267;555487
Ivanka pri Dunaji;Senec;Bratislavsky kraj;5308;3416;64.35;3407;507938
Kalinkovo;Senec;Bratislavsky kraj;1126;697;61.90;697;507997
Kaplna;Senec;Bratislavsky kraj;703;399;56.75;399;555495
Kostolna pri Dunaji;Senec;Bratislavsky kraj;546;337;61.72;337;503851
Kralova pri Senci;Senec;Bratislavsky kraj;1612;1002;62.15;1002;503894
Malinovo;Senec;Bratislavsky kraj;2736;1751;63.99;1751;508071
Miloslavov;Senec;Bratislavsky kraj;2336;1634;69.94;1633;508098
Most pri Bratislave;Senec;Bratislavsky kraj;2644;1648;62.32;1648;508110
Nova Dedinka;Senec;Bratislavsky kraj;2150;1295;60.23;1295;508136
Novy Svet;Senec;Bratislavsky kraj;82;56;68.29;56;582549
Reca;Senec;Bratislavsky kraj;1255;658;52.43;658;503983
Rovinka;Senec;Bratislavsky kraj;3268;2054;62.85;2054;508209
Senec;Senec;Bratislavsky kraj;15285;8200;53.64;8199;508217
Tomasov;Senec;Bratislavsky kraj;2124;1163;54.75;1163;508276
Turen;Senec;Bratislavsky kraj;920;521;56.63;521;508284
Velky Biel;Senec;Bratislavsky kraj;2164;1190;54.99;1190;508292
Vlky;Senec;Bratislavsky kraj;372;212;56.98;212;508331
Zalesie;Senec;Bratislavsky kraj;1529;1079;70.56;1079;555509
